"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","rt","stimulus","response","question_order"
"true","false","[]","[]","[]","preload","0","1046","0.0-0.0","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","","","",""
"true","","","","","fullscreen","1","3467","0.0-1.0","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","","","",""
"","","","","","html-keyboard-response","13","71170","0.0-3.0-0.5","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","14","73856","0.0-3.0-1.5","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","2682","<p>As the military commander, you could choose to launch a missile to kill <strong>7 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy tree</strong> nearby.</p> <p>The photo of the <strong>enemy tree</strong> is shown below.</p> <p></p> <img src='stimuli/tree/12.png', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","0",""
"","","","","","html-keyboard-response","15","74866","0.0-3.0-0.6","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","16","79526","0.0-3.0-1.6","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","4656","<p>As the military commander, you could choose to launch a missile to kill <strong>2 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy civilian</strong> nearby.</p> <p>The photo of the <strong>enemy civilian</strong> is shown below.</p> <p></p> <img src='stimuli/faces/PCF1.jpg', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","1",""
"","","","","","html-keyboard-response","17","80536","0.0-3.0-0.7","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","18","83176","0.0-3.0-1.7","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","2634","<p>As the military commander, you could choose to launch a missile to kill <strong>9 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy tree</strong> nearby.</p> <p>The photo of the <strong>enemy tree</strong> is shown below.</p> <p></p> <img src='stimuli/tree/6.png', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","0",""
"","","","","","html-keyboard-response","19","84186","0.0-3.0-0.8","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","20","86293","0.0-3.0-1.8","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","2104","<p>As the military commander, you could choose to launch a missile to kill <strong>10 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy civilian</strong> nearby.</p> <p>The photo of the <strong>enemy civilian</strong> is shown below.</p> <p></p> <img src='stimuli/faces/PCM5.jpg', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","1",""
"","","","","","html-keyboard-response","21","87299","0.0-3.0-0.9","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","22","92160","0.0-3.0-1.9","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","4856","<p>As the military commander, you could choose to launch a missile to kill <strong>5 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy tree</strong> nearby.</p> <p>The photo of the <strong>enemy tree</strong> is shown below.</p> <p></p> <img src='stimuli/tree/13.png', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","1",""
