subID,AttenCheck,Age,Gender,Nation,Race,Ses,low_PCF1,high_PCF1,low_PCF2,high_PCF2,low_PCF3,high_PCF3,low_PCF4,high_PCF4,low_PCF5,high_PCF5,low_PCF6,high_PCF6,low_PCF7,high_PCF7,low_PCF8,high_PCF8,low_PCM1,high_PCM1,low_PCM2,high_PCM2,low_PCM3,high_PCM3,low_PCM4,high_PCM4,low_PCM5,high_PCM5,low_PCM6,high_PCM6,low_PCM7,high_PCM7,low_PCM8,high_PCM8,low_tree1,high_tree1,low_tree2,high_tree2,low_tree3,high_tree3,low_tree4,high_tree4,low_tree5,high_tree5,low_tree6,high_tree6,low_tree7,high_tree7,low_tree8,high_tree8,low_tree9,high_tree9,low_tree10,high_tree10,low_tree11,high_tree11,low_tree12,high_tree12,low_tree13,high_tree13,low_tree14,high_tree14,low_tree15,high_tree15,low_tree16,high_tree16,PCF,PCF_low,PCF_high,PCM,PCM_low,PCM_high,tree,tree_low,tree_high,Face race,selection,RT_low_female1,RT_high_female1,RT_low_female2,RT_high_female2,RT_low_female3,RT_high_female3,RT_low_female4,RT_high_female4,RT_low_female5,RT_high_female5,RT_low_female6,RT_high_female6,RT_low_female7,RT_high_female7,RT_low_female8,RT_high_female8,RT_low_male1,RT_high_male1,RT_low_male2,RT_high_male2,RT_low_male3,RT_high_male3,RT_low_male4,RT_high_male4,RT_low_male5,RT_high_male5,RT_low_male6,RT_high_male6,RT_low_male7,RT_high_male7,RT_low_male8,RT_high_male8,RT_low_tree1,RT_high_tree1,RT_low_tree2,RT_high_tree2,RT_low_tree3,RT_high_tree3,RT_low_tree4,RT_high_tree4,RT_low_tree5,RT_high_tree5,RT_low_tree6,RT_high_tree6,RT_low_tree7,RT_high_tree7,RT_low_tree8,RT_high_tree8,RT_low_tree9,RT_high_tree9,RT_low_tree10,RT_high_tree10,RT_low_tree11,RT_high_tree11,RT_low_tree12,RT_high_tree12,RT_low_tree13,RT_high_tree13,RT_low_tree14,RT_high_tree14,RT_low_tree15,RT_high_tree15,RT_low_tree16,RT_high_tree16,RT_PCF,RT_PCF_low,RT_PCF_high,RT_PCM,RT_PCM_low,RT_PCM_high,RT_tree,RT_tree_low,RT_tree_high,Comments,workerID,Aggression,IRI,SDO,PCAT1,PCAT2,Nationalism,IC-hi,IC-vi,IC-hc,IC-vc
133,0,26,2,USA,White,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0.9375,0.875,1,0.90625,0.8125,1,1,0,962,703,6566,1287,2008,1029,2357,892,1093,651,770,937,1085,712,3660,1724,1362,1358,1096,662,1129,1484,1623,788,1532,1762,1164,783,1033,589,1578,1541,1692,13794,1155,1385,2233,1314,2313,1787,4456,821,784,1144,1319,1593,1544,934,2406,1265,2099,8598,1467,754,3541,667,3072,1508,1426,704,2363,874,1138,1452,2312.625,991.875,1652.25,1314.625,1120.875,1217.75,2063,2412.125,2237.5625,NICE SURVEY.,A1W5SVMFFOJUED,20,,41,31,31,28,23,24,27,29
134,0,25,2,american,White,9,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0.5,0.5,0.5,0.625,0.75,0.5,0.46875,0.5,0.4375,1,0,631,7427,2185,27386,1863,2204,3052,35634,3367,1949,2460,3673,1558,5500,30846,2931,4165,15103,1365,1122,773,4075,16600,3344,1508,5224,3771,253,561,2507,6766,3290,17663,3432,348,41322,2361,1565,38504,1481,7699,168539,13644,1821,6977,1827,2670,6252,854,446,4162,1021,4878,3743,3883,12446,13086,5218,2119,3732,15615,555,1452,6919,5745.25,10838,8291.625,4438.625,4364.75,4401.6875,8494.6875,16269.9375,12382.3125,good,A2DBJE313EAVC1,29,,47,33,31,36,29,27,28,26
135,1,25,1,usa,White,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AllLaunch,744,210,137,164,656,584,996,66,291,643,1615,323,219,224,190,145,403,194,218,192,482,283,261,1700,816,167,736,267,225,377,239,203,194,401,626,321,118,336,274,70,194,275,260,606,162,728,253,627,225,695,459,4538,767,513,282,276,378,121,782,268,1168,593,180,236,606,294.875,450.4375,422.5,422.875,422.6875,395.125,662.75,528.9375,good,A1YUVYT6ILN9NU,22,,47,40,27,35,28,26,25,25
136,1,24,1,white,White,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AllLaunch,869,2301,458,639,490,681,736,661,624,408,715,663,162,602,1272,743,649,593,649,707,659,1335,633,658,517,620,500,652,384,533,477,623,730,627,730,499,593,449,639,882,701,697,818,595,656,286,554,694,682,3458,2145,508,444,608,2202,655,597,687,659,859,1671,642,611,756,665.75,837.25,751.5,558.5,715.125,636.8125,902,806.375,854.1875,good,A1K82Z9OLF1U58,22,,45,33,26,40,28,27,27,26
137,1,24,1,white,White,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AllLaunch,569,729,620,667,1922,618,712,670,661,690,1455,1527,675,855,651,704,619,821,613,923,759,695,649,894,967,624,737,615,593,609,633,1094,657,717,673,651,792,631,1742,833,686,617,595,859,1527,3951,613,638,854,777,579,986,654,513,656,741,616,3229,738,711,624,352,262,680,908.125,807.5,857.8125,696.25,784.375,740.3125,766.75,1055.375,911.0625,good,A1T6S8YWTJGLM9,23,,55,29,24,38,29,24,26,25
138,1,24,1,USA,American Indian or Alaska Native,10,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0.6875,0.625,0.75,0.375,0.25,0.5,0.6875,0.6875,0.6875,1,0,900,811,807,674,282,297,956,10394,28652,463,2192,1171,888,1010,795,834,341,818,836,601,1196,808,892,1123,963,898,758,1574,1019,938,3316,1321,513,1168,695,298,424,217,414,785,995,10186,884,231,267,897,217,767,298,879,851,491,885,340,885,1146,802,850,1138,489,21161,859,1297,938,4434,1956.75,3195.375,1165.125,1010.125,1087.625,1982.875,1283.8125,1633.3438,GOOD,A18WO9O57UERFL,24,,53,36,34,37,26,21,26,19
139,1,30,1,USA,White,10,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0.5625,0.5,0.625,0.75,0.75,0.75,0.59375,0.625,0.5625,1,0,1411,782,715,1003,1138,980,2329,1721,1509,1841,193,1437,1957,1334,1401,1890,1151,1226,1290,887,885,252,1126,1118,46290,834,1203,316,1834,1659,1928,1409,2135,2079,1901,298,11222,2962,330,1994,1580,1099,8157,25434,968,1121,1552,1358,2283,2067,937,687,2505,121,986,743,829,924,1011,1023,833,2995,1148,769,1331.625,1373.5,1352.5625,6963.375,962.625,3963,2398.5625,2854.625,2626.5938,GOOD,AOXTPVRN9N6U,27,,46,37,33,38,29,27,29,28
140,1,32,1,usa,White,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AllLaunch,2249,1115,930,858,1226,1112,6298,728,40454,3282,978,1074,1530,2058,1510,1795,762,1009,810,1556,778,849,1450,1218,991,994,70218,1425,963,3199,1651,1539,1146,1954,7851,5843,1516,2596,1184,1883,1322,2715,966,2651,945,1525,1434,1016,762,1248,783,912,1934,1691,5732,1400,2475,1949,9099,1007,2321,3937,1396,1012,6896.875,1502.75,4199.8125,9702.875,1473.625,5588.25,2554.125,2083.6875,2318.9062,GOOD,ANIQJHHI4SL75,20,,46,36,21,48,24,24,23,21
141,1,30,1,alaska,American Indian or Alaska Native,8,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0.4375,0.5,0.375,0.4375,0.25,0.625,0.65625,0.625,0.6875,1,0,362,499,240,643,1563,117,235,234,344,435,174,113,296,162,667,1035,362,290,729,728,282,130,187,91,492,107,124,281,506,193,197,1033,218,93,252,466,172,778,609,225,164,297,633,258,242,548,305,344,529,219,185,247,139,517,172,467,1000,375,270,2133,4534,388,168,376,485.125,404.75,444.9375,359.875,356.625,358.25,599.5,483.1875,541.3438,good,AVECEQZUQOJJC,29,,47,34,23,32,28,30,32,30
142,0,25,1,indiana us,White,10,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.625,0.625,0.625,0.9375,0.875,1,0.25,0.1875,0.3125,1,0,1136,955,1002,1265,1238,1378,3498,1580,1767,2224,1190,1006,29303,798,1154,7233,2207,1151,889,1174,1820,1238,1565,2434,953,1090,1170,3566,1336,959,1178,5570,1602,2163,2057,1219,1322,2536,1299,2074,1497,1569,1083,952,1215,799,1606,1003,991,1075,2826,1439,1184,2038,1123,940,1451,13929,46073,1243,2328,1283,1697,1121,5036,2054.875,3545.4375,1389.75,2147.75,1768.75,4334.625,2211.4375,3273.0312,good,A39QSNS1QX5L6A,22,,48,30,24,34,24,26,24,24
